round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
quarter,Nicolas Kiefer,6-3 0-6 6-4 6-7(1) 8-6,2006,m,Nicolas Kiefer,Sebastien Grosjean,GER,FRA,45%,51%,4,12,9,2,62%,64%,0.51,0.53,220,215,189,183,139,139,0.56,0.69,0.41,0.44,160,169,34,59,67,55,58%,59%
quarter,David Nalbandian,7-5 6-0 6-0,2006,m,David Nalbandian,Fabrice Santoro,ARG,FRA,61%,61%,2,4,0,1,74%,59%,0.72,0.2,191,194,173,173,133,133,0.53,0.33,0.57,0.27,90,50,47,18,17,15,81%,40%
quarter,Marcos Baghdatis,6-4 6-2 4-6 3-6 6-3,2006,m,Marcos Baghdatis,Ivan Ljubicic,CYP,CRO,53%,64%,8,14,4,3,80%,71%,0.6,0.54,213,220,196,193,154,154,0.27,0.22,0.35,0.30,146,139,47,61,26,57,67%,70%
Fourth,Nicolas Kiefer,7-6(4) 6-3 6-3,2006,m,Nicolas Kiefer,Juan Ignacio Chela,GER,ARG,46%,57%,5,2,3,0,84%,63%,0.51,0.53,218,194,196,181,146,146,0.71,0.22,0.41,0.34,101,87,41,24,33,22,76%,50%
Fourth,Sebastien Grosjean,7-5 6-2 6-2,2006,m,Sebastien Grosjean,Paul-Henri Mathieu,FRA,FRA,43%,49%,12,3,3,4,94%,52%,0.46,0.47,212,207,193,185,152,152,0.57,0.75,0.51,0.33,93,68,29,17,23,49,60%,57%
Fourth,Roger Federer,6-4 6-0 3-6 4-6 6-2,2006,m,Roger Federer,Tommy Haas,SUI,GER,58%,64%,10,5,1,0,78%,63%,0.53,0.57,217,209,191,191,152,152,0.55,0.22,0.39,0.33,143,127,66,31,58,36,66%,69%
Fourth,Nikolay Davydenko,4-6 4-6 6-4 6-2 6-3,2006,m,Nikolay Davydenko,Dominik Hrbaty,RUS,SVK,69%,50%,6,7,3,6,59%,72%,0.62,0.41,212,215,178,185,143,143,0.67,0.43,0.44,0.40,161,148,31,36,60,77,52%,66%
Fourth,Fabrice Santoro,6-4 7-5 7-5,2006,m,Fabrice Santoro,David Ferrer,FRA,ESP,60%,73%,6,0,0,2,63%,53%,0.47,0.34,197,193,178,170,143,143,0.56,0.5,0.52,0.44,108,92,19,53,14,41,61%,73%
Fourth,Ivan Ljubicic,6-2 6-4 6-4,2006,m,Ivan Ljubicic,Thomas Johansson,CRO,SWE,53%,46%,12,12,1,7,77%,81%,0.71,0.41,222,215,202,185,149,149,0.57,0,0.41,0.26,97,75,39,26,16,27,68%,63%
Fourth,Marcos Baghdatis,6-4 1-6 6-3 6-4,2006,m,Marcos Baghdatis,Andy Roddick,CYP,USA,48%,60%,16,15,1,4,72%,74%,0.57,0.56,218,226,199,207,173,173,0.3,0.22,0.33,0.36,116,117,63,39,26,31,64%,57%
Fourth,David Nalbandian,6-3 6-0 2-6 6-2,2006,m,David Nalbandian,Tommy Robredo,ARG,ESP,65%,68%,3,9,2,6,73%,62%,0.66,0.32,193,209,173,175,151,151,0.32,1,0.48,0.30,116,87,33,24,28,37,83%,71%
Third,Roger Federer,6-3 6-4 6-3,2006,m,Roger Federer,Max Mirnyi,SUI,BLR,67%,67%,6,5,2,6,79%,69%,0.87,0.31,205,220,188,201,165,165,0.27,0,0.44,0.19,104,74,48,22,10,25,75%,53%
Third,Nicolas Kiefer,6-3 6-2 5-7 6-2,2006,m,Nicolas Kiefer,Juan Carlos Ferrero,GER,ESP,51%,64%,13,5,4,2,87%,60%,0.56,0.58,222,201,201,176,144,144,0.36,0.33,0.40,0.28,125,104,52,46,34,43,67%,72%
Third,Paul-Henri Mathieu,7-6(2) 7-6(7) 6-1,2006,m,Paul-Henri Mathieu,Luis Horna,FRA,PER,63%,70%,18,9,1,4,78%,63%,0.61,0.39,204,209,175,173,146,146,0.42,0.5,0.44,0.28,123,91,49,36,26,45,59%,38%
Third,Dominik Hrbaty,1-6 6-4 6-3 2-6 6-4,2006,m,Dominik Hrbaty,Igor Andreev,SVK,RUS,56%,58%,12,12,5,6,61%,66%,0.57,0.48,217,210,188,183,143,143,0.24,0.43,0.41,0.41,160,160,32,47,63,72,52%,74%
Third,Juan Ignacio Chela,6-1 6-4 6-4,2006,m,Juan Ignacio Chela,Kristof Vliegen,ARG,BEL,55%,65%,4,5,3,5,79%,68%,0.58,0.38,194,201,176,176,146,146,0.36,0,0.43,0.31,101,76,19,41,16,44,74%,69%
Third,Tommy Haas,4-6 6-3 6-4 6-4,2006,m,Tommy Haas,Peter Luczak,GER,AUS,60%,60%,18,21,1,2,81%,72%,0.62,0.54,204,207,186,188,149,149,0.5,1,0.35,0.27,123,105,55,48,30,30,75%,72%
Third,Sebastien Grosjean,6-2 6-2 3-6 6-4,2006,m,Sebastien Grosjean,Guillermo Coria,FRA,ARG,51%,64%,7,0,8,23,73%,61%,0.4,0.26,215,201,191,138,141,141,0.35,0.55,0.52,0.44,128,109,46,23,48,48,63%,73%
Third,Nikolay Davydenko,6-2 5-7 6-4 7-5,2006,m,Nikolay Davydenko,Nathan Healey,RUS,AUS,75%,62%,4,17,2,6,74%,70%,0.71,0.41,212,213,173,191,156,156,0.28,0.33,0.41,0.26,144,116,47,42,38,61,83%,63%
Third,Andy Roddick,6-1 6-2 6-2,2006,m,Andy Roddick,Julien Benneteau,USA,FRA,60%,59%,17,5,1,3,86%,49%,0.64,0.38,226,210,209,178,149,149,0.86,0.33,0.56,0.23,81,40,28,13,16,31,77%,44%
Third,David Nalbandian,2-6 6-3 6-2 7-5,2006,m,David Nalbandian,Jarkko Nieminen,ARG,FIN,65%,68%,6,3,3,1,63%,58%,0.58,0.45,193,201,176,178,125,125,0.37,0.31,0.46,0.39,141,121,54,33,52,39,74%,48%
Third,David Ferrer,6-3 6-3 6-3,2006,m,David Ferrer,Mario Ancic,ESP,CRO,71%,66%,0,3,2,5,65%,54%,0.58,0.48,186,207,162,173,148,148,0.46,0.5,0.48,0.37,94,76,20,24,16,35,42%,58%
Third,Thomas Johansson,6-3 6-2 6-1,2006,m,Thomas Johansson,Gilles Simon,SWE,FRA,58%,45%,9,4,1,2,85%,70%,0.53,0.41,220,202,188,176,133,133,0.4,0,0.46,0.28,89,65,33,20,27,34,60%,37%
Third,Marcos Baghdatis,6-2 6-1 6-2,2006,m,Marcos Baghdatis,Denis Gremelmayr,CYP,GER,55%,62%,5,0,3,4,67%,45%,0.6,0.35,202,197,180,164,127,127,0.73,0.67,0.59,0.36,82,52,27,13,17,28,74%,48%
Third,Tommy Robredo,6-3 6-4 6-4,2006,m,Tommy Robredo,James Blake,ESP,USA,57%,52%,9,6,6,8,78%,70%,0.65,0.43,209,218,186,193,154,154,0.31,0.2,0.43,0.28,103,79,24,34,14,46,75%,67%
