round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Third,Juan Martin Del Potro,6-2 6-3 6-0,2012,m,Juan Martin Del Potro,Yen-Hsun Lu,ARG,TPE,57%,58%,8,6,1,3,85%,56%,0.58,0.36,217,203,196,192,147,161,0.7,0.43,0.52,0.27,79,48,17,18,13,40,80%,59%
Third,Bernard Tomic,4-6 7-6(0) 7-6(6) 2-6 6-3,2012,m,Bernard Tomic,Alexandr Dolgopolov,AUS,UKR,69%,45%,13,22,2,3,63%,78%,0.56,0.53,198,209,178,193,145,135,0.44,0.33,0.36,0.39,174,174,41,80,61,78,62%,70%
Third,Roger Federer,7-6(6) 7-5 6-3,2012,m,Roger Federer,Ivo Karlovic,SUI,CRO,62%,71%,9,15,0,3,80%,76%,0.74,0.34,203,211,182,199,150,169,0.33,0,0.36,0.22,120,98,55,40,13,35,69%,52%
Third,Tomas Berdych,7-6(5) 7-6(1) 6-1,2012,m,Tomas Berdych,Kevin Anderson,CZE,RSA,53%,69%,14,16,6,5,81%,71%,0.64,0.41,220,210,197,192,153,167,0.18,0,0.39,0.27,124,102,49,41,28,40,76%,44%
Third,Nicolas Almagro,7-6(2) 6-2 6-4,2012,m,Nicolas Almagro,Stanislas Wawrinka,ESP,SUI,56%,53%,6,4,0,2,72%,57%,0.63,0.47,212,202,187,173,143,133,0.38,1,0.47,0.32,116,90,31,30,26,49,67%,50%
Third,Feliciano Lopez,6-3 6-7(3) 6-4 6-7(0) 6-1,2012,m,Feliciano Lopez,John Isner,ESP,USA,56%,73%,16,30,12,3,76%,72%,0.64,0.44,216,217,192,197,162,175,0.55,0.25,0.35,0.29,160,140,55,64,30,51,71%,64%
Third,Rafael Nadal,6-2 6-4 6-2,2012,m,Rafael Nadal,Lukas Lacko,ESP,SVK,81%,67%,2,8,0,3,85%,60%,0.46,0.42,197,202,172,179,132,151,0.5,0.2,0.46,0.22,89,57,27,17,19,30,75%,70%
Second,Novak Djokovic,6-3 6-2 6-1,2012,m,Novak Djokovic,Santiago Giraldo,SRB,COL,55%,52%,9,3,2,3,81%,63%,0.66,0.31,201,200,188,183,148,148,0.54,0.5,0.52,0.26,86,52,27,13,21,39,69%,50%
Second,Nicolas Mahut,1-6 7-6(6) 6-2 6-2,2012,m,Nicolas Mahut,Tatsuma Ito,FRA,JPN,69%,62%,8,3,2,5,64%,62%,0.37,0.44,192,205,166,170,137,139,0.44,0.55,0.45,0.45,123,123,28,39,46,54,64%,53%
Second,Milos Raonic,6-4 5-7 6-2 7-5,2012,m,Milos Raonic,Philipp Petzschner,CAN,GER,54%,54%,17,10,6,4,81%,79%,0.54,0.4,225,214,204,187,165,138,0.71,0.18,0.39,0.32,136,122,47,38,38,44,53%,66%
Second,Lleyton Hewitt,3-6 6-3 6-4 ret.,2012,m,Lleyton Hewitt,Andy Roddick,AUS,USA,58%,62%,11,9,2,2,82%,68%,0.52,0.54,195,219,172,193,138,166,0.43,0.4,0.37,0.31,88,81,41,28,27,22,68%,44%
Second,Janko Tipsarevic,3-6 6-2 7-6(5) 6-4,2012,m,Janko Tipsarevic,James Duckworth,SRB,AUS,56%,66%,11,10,3,6,80%,66%,0.61,0.44,199,207,184,174,145,129,0.31,0.6,0.41,0.29,135,115,42,45,31,53,71%,69%
Second,Richard Gasquet,6-4 6-2 3-0 ret.,2012,m,Richard Gasquet,Andrey Golubev,FRA,KAZ,60%,66%,5,4,0,5,78%,46%,0.5,0.46,204,193,177,169,143,153,0.35,1,0.54,0.33,84,58,33,27,10,27,68%,62%
Second,Juan Ignacio Chela,6-4 6-4 6-3,2012,m,Juan Ignacio Chela,Pablo Andujar,ARG,ESP,70%,57%,1,0,3,6,60%,51%,0.52,0.39,187,191,161,172,129,145,0.53,0.42,0.54,0.43,103,82,17,33,27,62,64%,70%
Second,David Ferrer,6-7(4) 6-2 3-6 6-2 6-3,2012,m,David Ferrer,Ryan Sweeting,ESP,USA,67%,63%,6,5,6,9,68%,64%,0.54,0.45,190,207,171,183,142,154,0.7,0.3,0.43,0.37,155,137,36,48,37,73,53%,74%
Second,Andy Murray,6-1 6-4 6-4,2012,m,Andy Murray,Edouard Roger-Vasselin,GBR,FRA,68%,56%,9,2,2,2,85%,66%,0.6,0.43,217,195,181,182,140,149,0.33,0,0.44,0.23,101,71,41,29,19,33,78%,67%
Second,Michael Llodra,6-1 6-3 4-6 5-7 6-4,2012,m,Michael Llodra,Alex Jr. Bogomolov,FRA,RUS,59%,77%,12,1,8,6,66%,58%,0.48,0.34,,,,,NULL,NULL,0.65,0.57,0.47,0.41,151,135,12,1,8,6,,
Second,Mikhail Kukushkin,5-7 6-4 6-2 4-6 6-3,2012,m,Mikhail Kukushkin,Viktor Troicki,KAZ,SRB,63%,53%,5,7,3,2,71%,63%,0.55,0.53,197,210,173,184,126,132,0.39,0.45,0.42,0.35,154,138,48,32,56,64,49%,63%
Second,Gael Monfils,2-6 6-0 6-4 6-2,2012,m,Gael Monfils,Thomaz Bellucci,FRA,BRA,61%,56%,3,1,5,2,69%,62%,0.49,0.42,210,200,175,178,148,144,0.44,0.25,0.47,0.39,121,103,34,29,37,53,62%,61%
Second,Julien Benneteau,7-5 7-6(8) 1-6 3-6 6-2,2012,m,Julien Benneteau,Gilles Simon,FRA,FRA,63%,64%,6,3,6,3,63%,64%,0.5,0.48,203,201,174,159,131,132,0.39,0.47,0.42,0.42,163,165,58,55,55,40,66%,63%
Second,Kei Nishikori,3-6 1-6 6-4 6-1 6-1,2012,m,Kei Nishikori,Matthew Ebden,JPN,AUS,67%,66%,2,6,3,2,61%,67%,0.52,0.4,197,200,168,179,137,142,0.42,0.5,0.42,0.42,127,126,38,31,57,54,56%,64%
Second,Frederico Gil,6-3 4-6 6-4 6-3,2012,m,Frederico Gil,Marcel Granollers,POR,ESP,70%,59%,3,7,0,5,70%,70%,0.58,0.4,,,,,0,0,0.4,0.5,0.42,0.34,124,108,3,7,0,5,,
Second,Jo-Wilfried Tsonga,7-5 6-4 6-4,2012,m,Jo-Wilfried Tsonga,Ricardo Mello,FRA,BRA,73%,51%,15,2,3,7,74%,67%,0.52,0.51,214,180,183,162,138,135,0.5,0.33,0.41,0.32,102,86,54,18,44,19,76%,62%
Second,Alejandro Falla,7-6(4) 6-3 7-6(6),2012,m,Alejandro Falla,Mardy Fish,COL,USA,59%,62%,5,5,1,0,65%,62%,0.58,0.49,198,213,171,181,135,144,0.83,0.36,0.43,0.38,116,102,30,35,34,58,77%,61%
Second,Philipp Kohlschreiber,6-0 4-0 ret.,2012,m,Philipp Kohlschreiber,Pere Riba,GER,ESP,77%,42%,1,0,1,2,90%,47%,0.5,0.24,203,195,174,178,152,137,0.71,0,0.67,0.19,45,17,16,5,7,18,100%,43%
Second,Yen-Hsun Lu,7-5 6-2 6-2,2012,m,Yen-Hsun Lu,Florent Serra,TPE,FRA,69%,61%,4,5,2,3,89%,60%,0.71,0.44,,,,,0,0,0.42,0,0.46,0.16,106,68,4,5,2,3,,
Second,Juan Martin Del Potro,6-4 7-5 6-3,2012,m,Juan Martin Del Potro,Blaz Kavcic,ARG,SLO,64%,57%,14,3,5,9,76%,67%,0.48,0.32,207,210,186,179,144,149,0.58,1,0.48,0.34,109,86,41,22,35,38,60%,69%
Second,Alexandr Dolgopolov,4-6 6-1 6-1 3-6 8-6,2012,m,Alexandr Dolgopolov,Tobias Kamke,UKR,GER,61%,59%,16,2,4,9,76%,57%,0.43,0.55,212,192,189,175,129,151,0.45,0.38,0.44,0.37,163,143,61,30,73,63,70%,57%
Second,Bernard Tomic,3-6 6-3 7-6(3) 6-3,2012,m,Bernard Tomic,Sam Querrey,AUS,USA,68%,62%,6,22,1,7,77%,85%,0.66,0.4,198,218,174,199,141,151,0.3,0.67,0.32,0.27,125,112,30,52,29,50,82%,60%
Second,Ivo Karlovic,7-6(4) 3-6 6-3 6-4,2012,m,Ivo Karlovic,Carlos Berlocq,CRO,ARG,66%,75%,20,1,2,2,72%,72%,0.62,0.46,,,,,0,0,0.33,0.25,0.35,0.31,139,131,20,1,2,2,,
Second,Tomas Berdych,6-1 6-0 7-6(4),2012,m,Tomas Berdych,Olivier Rochus,CZE,BEL,58%,60%,21,1,1,0,91%,60%,0.58,0.53,215,176,191,163,151,134,0.63,0,0.43,0.23,94,64,47,10,36,19,71%,89%
Second,Kevin Anderson,3-6 6-1 7-6(3) 6-3,2012,m,Kevin Anderson,Sergiy Stakhovsky,RSA,UKR,69%,52%,15,10,4,4,78%,74%,0.5,0.56,,,,,0,0,0.44,0.67,0.35,0.31,119,107,15,10,4,4,,
Second,Stanislas Wawrinka,7-6(3) 6-4 5-7 6-1,2012,m,Stanislas Wawrinka,Marcos Baghdatis,SUI,CYP,51%,52%,4,1,5,8,72%,58%,0.49,0.45,210,205,185,184,150,149,0.53,0.42,0.48,0.39,146,124,41,19,67,59,65%,60%
Second,Nicolas Almagro,4-6 6-3 6-7(4) 6-4 6-0,2012,m,Nicolas Almagro,Grigor Dimitrov,ESP,BUL,64%,58%,9,13,2,5,70%,71%,0.63,0.39,207,211,183,188,141,157,0.36,0.43,0.42,0.33,163,138,43,49,39,51,64%,70%
Second,John Isner,4-6 6-3 2-6 7-6(5) 10-8,2012,m,John Isner,David Nalbandian,USA,ARG,63%,64%,43,7,2,5,72%,73%,0.51,0.58,224,196,198,175,166,147,0.4,0.33,0.33,0.36,181,187,88,67,69,33,54%,73%
Second,Feliciano Lopez,7-5 7-6(4) 6-2,2012,m,Feliciano Lopez,Flavio Cipolla,ESP,ITA,53%,84%,6,0,5,2,75%,54%,0.5,0.56,212,170,187,149,151,124,0.5,0.43,0.46,0.37,111,92,34,32,34,36,71%,55%
Second,Lukas Lacko,6-3 6-1 3-6 6-3,2012,m,Lukas Lacko,Donald Young,SVK,USA,64%,57%,9,2,1,2,72%,68%,0.64,0.48,201,196,178,163,141,131,0.42,0.2,0.41,0.31,116,94,45,27,38,37,82%,62%
Second,Rafael Nadal,6-4 6-3 6-4,2012,m,Rafael Nadal,Tommy Haas,ESP,GER,64%,63%,2,8,2,4,75%,61%,0.55,0.46,196,203,176,187,135,156,0.6,0.5,0.45,0.33,96,78,36,30,17,38,82%,55%
First,Novak Djokovic,6-2 6-0 6-0,2012,m,Novak Djokovic,Paolo Lorenzi,SRB,ITA,73%,52%,4,0,1,5,73%,56%,0.47,0.07,197,188,178,177,147,145,0.69,0.2,0.67,0.34,82,41,22,10,13,30,81%,58%
First,Santiago Giraldo,6-4 6-2 6-1,2012,m,Santiago Giraldo,Matteo Viola,COL,ITA,61%,59%,0,2,1,4,76%,55%,0.71,0.36,,,,,0,0,0.4,0.33,0.53,0.26,88,54,0,2,1,4,,
First,Tatsuma Ito,6-3 4-6 6-3 6-4,2012,m,Tatsuma Ito,Potito Starace,JPN,ITA,58%,71%,11,9,3,3,80%,68%,0.55,0.6,208,192,178,173,134,143,0.56,0.29,0.34,0.30,113,102,44,29,28,32,61%,73%
First,Nicolas Mahut,7-5 7-5 6-3,2012,m,Nicolas Mahut,Radek Stepanek,FRA,CZE,59%,68%,7,3,4,3,79%,59%,0.38,0.42,199,192,181,173,142,146,0.38,0.33,0.46,0.38,116,97,40,38,23,22,62%,55%
First,Milos Raonic,6-4 6-0 6-2,2012,m,Milos Raonic,Filippo Volandri,CAN,ITA,62%,44%,13,0,4,5,84%,57%,0.58,0.45,,,,,0,0,0.5,0,0.50,0.26,93,60,13,0,4,5,,
First,Philipp Petzschner,6-0 6-0 6-2,2012,m,Philipp Petzschner,Lukas Rosol,GER,CZE,56%,56%,10,7,2,5,87%,45%,0.5,0.3,,,,,0,0,0.64,1,0.62,0.29,91,48,10,7,2,5,,
First,Lleyton Hewitt,7-5 6-4 3-6 7-5,2012,m,Lleyton Hewitt,Cedrik-Marcel Stebe,AUS,GER,55%,59%,8,13,2,6,76%,66%,0.49,0.5,196,196,173,181,140,143,0.32,0.4,0.40,0.36,144,137,29,59,33,64,63%,62%
First,Andy Roddick,6-3 6-4 6-1,2012,m,Andy Roddick,Robin Haase,USA,NED,72%,51%,13,7,1,6,73%,67%,0.64,0.38,224,203,198,190,159,150,0.46,0.2,0.47,0.29,91,63,35,30,20,32,62%,47%
First,Janko Tipsarevic,5-7 7-6(12) 6-3 6-4,2012,m,Janko Tipsarevic,Dmitry Tursunov,SRB,RUS,68%,60%,28,9,4,5,82%,75%,0.56,0.5,,,,,0,0,0.38,0.5,0.35,0.26,146,128,28,9,4,5,,
First,James Duckworth,6-3 6-4 6-4,2012,m,James Duckworth,Jurgen Zopp,AUS,EST,63%,60%,11,6,3,4,79%,67%,0.58,0.48,212,204,165,179,131,143,0.44,0.25,0.40,0.29,94,72,24,19,24,33,59%,58%
First,Andrey Golubev,7-5 6-7(4) 6-4 4-6 6-3,2012,m,Andrey Golubev,Mikhail Youzhny,KAZ,RUS,62%,62%,12,7,10,6,66%,62%,0.42,0.43,,,,,0,0,0.5,0.32,0.45,0.43,196,189,12,7,10,6,,
First,Richard Gasquet,6-3 3-6 6-3 6-1,2012,m,Richard Gasquet,Andreas Seppi,FRA,ITA,65%,51%,10,8,3,6,78%,60%,0.44,0.45,201,195,174,174,140,132,0.41,0.5,0.47,0.34,117,93,44,31,45,44,55%,62%
First,Juan Ignacio Chela,7-6(3) 6-3 6-4,2012,m,Juan Ignacio Chela,Michael Russell,ARG,USA,58%,61%,5,3,1,7,62%,56%,0.61,0.47,191,196,163,162,131,140,0.5,0.45,0.47,0.38,128,106,28,48,26,72,57%,73%
First,Pablo Andujar,6-1 7-6(12) 6-0,2012,m,Pablo Andujar,Igor Kunitsyn,ESP,RUS,62%,60%,4,1,4,3,74%,55%,0.39,0.31,,,,,0,0,0.64,0.57,0.55,0.40,102,75,4,1,4,3,,
First,Ryan Sweeting,6-4 6-4 6-2,2012,m,Ryan Sweeting,Matthias Bachinger,USA,GER,70%,60%,8,4,5,4,85%,70%,0.58,0.47,,,,,0,0,0.5,0,0.39,0.23,98,75,8,4,5,4,,
First,David Ferrer,6-1 6-4 6-2,2012,m,David Ferrer,Rui Machado,ESP,POR,59%,67%,2,0,1,4,85%,50%,0.5,0.41,192,188,169,157,139,125,0.78,0.5,0.53,0.29,91,58,15,20,20,52,50%,40%
First,Andy Murray,4-6 6-3 6-4 6-2,2012,m,Andy Murray,Ryan Harrison,GBR,USA,54%,62%,7,9,5,8,71%,66%,0.6,0.48,213,215,175,191,136,163,0.33,0.29,0.41,0.34,129,113,39,47,40,61,70%,68%
First,Edouard Roger-Vasselin,7-6(6) ret.,2012,m,Edouard Roger-Vasselin,Xavier Malisse,FRA,BEL,72%,54%,6,3,0,2,74%,74%,0.67,0.46,,,,,0,0,0.14,0.5,0.39,0.28,53,47,6,3,0,2,,
First,Michael Llodra,2-6 6-1 6-2 6-2,2012,m,Michael Llodra,Ernests Gulbis,FRA,LAT,75%,58%,11,6,2,8,71%,66%,0.56,0.4,,,,,0,0,0.35,0.18,0.45,0.33,110,86,11,6,2,8,,
First,Alex Jr. Bogomolov,6-3 6-2 6-4,2012,m,Alex Jr. Bogomolov,Daniel Gimeno-Traver,RUS,ESP,88%,68%,3,4,0,4,71%,53%,0.56,0.42,,,,,NULL,NULL,0.5,0.5,0.51,0.31,112,81,3,4,0,4,,
First,Viktor Troicki,4-6 6-7(3) 6-2 7-6(3) 6-2,2012,m,Viktor Troicki,Juan Carlos Ferrero,SRB,ESP,60%,63%,27,3,3,3,81%,66%,0.49,0.59,,,,,0,0,0.5,0.33,0.37,0.32,170,154,27,3,3,3,,
First,Mikhail Kukushkin,6-4 6-3 6-0,2012,m,Mikhail Kukushkin,Guillermo Garcia-Lopez,KAZ,ESP,60%,64%,5,1,0,3,76%,55%,0.67,0.5,,,,,0,0,0.55,0.5,0.47,0.28,90,62,5,1,0,3,,
First,Thomaz Bellucci,7-6(5) 6-4 6-3,2012,m,Thomaz Bellucci,Dudi Sela,BRA,ISR,47%,55%,10,7,4,5,81%,65%,0.58,0.5,,,,,0,0,0.5,0.33,0.42,0.31,118,100,10,7,4,5,,
First,Gael Monfils,7-6(5) 6-3 6-3,2012,m,Gael Monfils,Marinko Matosevic,FRA,AUS,54%,55%,12,3,6,7,72%,66%,0.51,0.37,213,196,173,176,139,137,0.45,0.2,0.47,0.38,122,102,32,34,31,53,58%,69%
First,Gilles Simon,6-1 3-6 6-7(5) 6-3 6-2,2012,m,Gilles Simon,Danai Udomchoke,FRA,THA,54%,61%,14,4,2,4,67%,58%,0.63,0.49,197,198,172,168,126,139,0.77,0.45,0.46,0.35,150,121,53,31,51,54,68%,76%
First,Julien Benneteau,6-4 6-2 7-5,2012,m,Julien Benneteau,Karol Beck,FRA,SVK,63%,56%,6,7,3,2,70%,62%,0.74,0.51,,,,,0,0,0.42,0.33,0.43,0.29,98,75,6,7,3,2,,
First,Matthew Ebden,6-3 7-6(1) 6-2,2012,m,Matthew Ebden,Joao Souza,AUS,BRA,70%,65%,10,8,3,2,82%,63%,0.52,0.41,199,202,182,182,140,151,0.25,0.5,0.45,0.27,114,85,34,32,32,52,63%,69%
First,Kei Nishikori,6-1 7-6(7) 6-0,2012,m,Kei Nishikori,Stephane Robert,JPN,FRA,71%,49%,7,2,0,7,77%,62%,0.48,0.34,189,194,169,180,137,136,0.58,0.33,0.52,0.31,107,71,35,26,25,35,64%,76%
First,Marcel Granollers,6-0 7-6(4) 5-7 5-7 6-3,2012,m,Marcel Granollers,Jesse Levine,ESP,CAN,63%,69%,24,7,5,3,84%,67%,0.47,0.45,,,,,0,0,0.31,0.43,0.40,0.30,173,148,24,7,5,3,,
First,Frederico Gil,2-6 6-1 6-1 4-1 ret.,2012,m,Frederico Gil,Ivan Dodig,POR,CRO,72%,51%,3,6,0,4,64%,63%,0.64,0.26,,,,,0,0,0.67,0.21,0.55,0.36,94,64,3,6,0,4,,
First,Ricardo Mello,6-4 6-4 7-5,2012,m,Ricardo Mello,Roberto Bautista-Agut,BRA,ESP,67%,56%,3,6,4,9,68%,63%,0.55,0.37,,,,,NULL,NULL,0.58,0.44,0.49,0.37,122,100,3,6,4,9,,
First,Jo-Wilfried Tsonga,6-4 3-6 6-2 7-5,2012,m,Jo-Wilfried Tsonga,Denis Istomin,FRA,UZB,49%,69%,11,9,5,3,71%,64%,0.56,0.54,221,207,190,186,129,139,0.67,0.33,0.39,0.37,120,112,44,31,45,49,70%,55%
First,Mardy Fish,6-4 6-4 6-2,2012,m,Mardy Fish,Gilles Muller,USA,LUX,62%,66%,11,9,2,2,91%,69%,0.64,0.45,213,201,182,182,138,156,0.31,0,0.39,0.19,97,73,30,30,12,39,78%,59%
First,Alejandro Falla,6-3 6-2 3-6 6-1,2012,m,Alejandro Falla,Fabio Fognini,COL,ITA,66%,55%,5,2,3,8,68%,65%,0.53,0.38,,,,,0,0,0.64,0.29,0.47,0.37,130,107,5,2,3,8,,
First,Pere Riba,7-6(2) 2-6 6-4 7-6(5),2012,m,Pere Riba,Albert Montanes,ESP,ESP,61%,66%,16,2,3,7,70%,66%,0.48,0.49,,,,,0,0,0.36,0.43,0.40,0.39,143,145,16,2,3,7,,
First,Philipp Kohlschreiber,7-5 4-6 6-3 6-7(4) 6-0,2012,m,Philipp Kohlschreiber,Juan Monaco,GER,ARG,59%,71%,9,2,2,1,76%,62%,0.59,0.5,205,203,175,168,143,147,0.57,0.38,0.42,0.31,163,134,54,30,61,67,65%,80%
First,Yen-Hsun Lu,6-4 3-6 6-1 3-6 6-3,2012,m,Yen-Hsun Lu,Rik de Voest,TPE,RSA,59%,67%,7,10,4,0,78%,67%,0.46,0.52,,,,,0,0,0.5,0.33,0.38,0.35,137,130,7,10,4,0,,
First,Florent Serra,6-7(3) 3-6 5-4 ret.,2012,m,Florent Serra,Steve Darcis,FRA,BEL,61%,75%,5,4,2,1,58%,65%,0.5,0.48,,,,,0,0,0.3,0.38,0.39,0.45,99,110,5,4,2,1,,
First,Blaz Kavcic,6-4 6-3 6-4,2012,m,Blaz Kavcic,James Ward,SLO,GBR,60%,47%,2,7,5,3,74%,67%,0.5,0.45,,,,,0,0,0.45,0.43,0.45,0.36,99,78,2,7,5,3,,
First,Juan Martin Del Potro,2-6 6-1 7-5 6-4,2012,m,Juan Martin Del Potro,Adrian Mannarino,ARG,FRA,58%,68%,12,7,6,3,75%,70%,0.4,0.34,206,197,187,169,158,143,0.75,0.31,0.42,0.40,125,114,35,44,39,49,45%,76%
First,Alexandr Dolgopolov,1-6 4-6 6-1 6-1 6-2,2012,m,Alexandr Dolgopolov,Greg Jones,UKR,AUS,57%,54%,15,8,1,8,79%,69%,0.57,0.38,203,211,181,181,117,140,0.44,0.8,0.45,0.30,119,94,46,29,34,42,70%,63%
First,Tobias Kamke,6-2 6-1 6-2,2012,m,Tobias Kamke,Victor Hanescu,GER,ROU,56%,75%,1,1,3,1,73%,45%,0.62,0.38,,,,,0,0,0.33,1,0.57,0.32,99,62,1,1,3,1,,
First,Sam Querrey,6-3 6-2 6-2,2012,m,Sam Querrey,Kenny de Schepper,USA,FRA,58%,52%,12,5,4,7,89%,70%,0.5,0.35,,,,,0,0,0.63,0,0.46,0.27,92,60,12,5,4,7,,
First,Bernard Tomic,4-6 6-7(3) 6-4 6-2 7-5,2012,m,Bernard Tomic,Fernando Verdasco,AUS,ESP,61%,60%,7,15,3,11,70%,66%,0.53,0.49,197,218,175,185,140,160,0.33,0.31,0.40,0.36,181,168,44,57,60,83,74%,64%
First,Ivo Karlovic,7-6(3) 7-5 6-3,2012,m,Ivo Karlovic,Jurgen Melzer,CRO,AUT,78%,65%,24,2,3,8,75%,71%,0.43,0.44,,,,,0,0,0.5,0.29,0.38,0.32,110,96,24,2,3,8,,
First,Carlos Berlocq,2-6 6-3 7-6(3) 6-3,2012,m,Carlos Berlocq,Jesse Huta Galung,ARG,NED,67%,52%,9,8,3,12,74%,78%,0.36,0.4,,,,,0,0,0.42,0.38,0.40,0.39,127,122,9,8,3,12,,
First,Andreas Beck,6-4 6-2 4-6 7-5,2012,m,Andreas Beck,Eric Prodon,GER,FRA,63%,69%,2,14,8,3,73%,55%,0.49,0.68,,,,,0,0,0.43,0.3,0.41,0.36,133,120,2,14,8,3,,
First,Roger Federer,7-5 6-2 6-2,2012,m,Roger Federer,Alexander Kudryavtsev,SUI,RUS,63%,42%,14,4,2,4,80%,65%,0.56,0.4,207,209,181,195,NULL,NULL,0.46,0.25,0.49,0.29,106,70,43,21,33,42,44%,67%
First,Tomas Berdych,7-5 4-6 6-2 6-3,2012,m,Tomas Berdych,Albert Ramos,CZE,ESP,52%,52%,7,4,6,4,88%,69%,0.52,0.52,214,192,192,166,142,141,0.71,0.5,0.39,0.29,124,102,39,24,43,51,57%,88%
First,Olivier Rochus,6-1 6-4 6-0,2012,m,Olivier Rochus,Bjorn Phau,BEL,GER,60%,49%,7,2,1,4,80%,45%,0.67,0.41,,,,,0,0,0.7,0.25,0.57,0.25,87,44,7,2,1,4,,
First,Sergiy Stakhovsky,6-3 6-7(9) 4-6 6-3 7-5,2012,m,Sergiy Stakhovsky,Illya Marchenko,UKR,UKR,64%,55%,13,2,9,18,66%,68%,0.52,0.43,,,,,0,0,0.32,0.31,0.43,0.39,198,177,13,2,9,18,,
First,Kevin Anderson,6-1 6-2 6-4,2012,m,Kevin Anderson,Frederik Nielsen,RSA,DEN,64%,60%,5,0,4,3,75%,58%,0.55,0.34,,,,,0,0,0.46,0.17,0.51,0.33,99,67,5,0,4,3,,
First,Stanislas Wawrinka,6-1 6-1 7-5,2012,m,Stanislas Wawrinka,Benoit Paire,SUI,FRA,60%,54%,2,3,3,6,69%,62%,0.62,0.29,204,192,174,168,143,140,0.64,0.09,0.53,0.34,109,72,24,24,20,42,58%,85%
First,Marcos Baghdatis,6-1 7-6(5) 6-2,2012,m,Marcos Baghdatis,Benjamin Becker,CYP,GER,45%,56%,18,5,1,1,92%,73%,0.59,0.37,208,208,190,180,154,143,0.75,0.17,0.43,0.26,93,66,38,23,23,38,69%,64%
First,Grigor Dimitrov,4-6 6-3 3-6 6-4 6-4,2012,m,Grigor Dimitrov,Jeremy Chardy,BUL,FRA,58%,54%,12,19,6,8,74%,83%,0.52,0.48,212,212,190,197,155,155,0.27,0.14,0.34,0.35,148,148,41,59,38,49,76%,66%
First,Nicolas Almagro,1-6 7-5 6-3 7-5,2012,m,Nicolas Almagro,Lukasz Kubot,ESP,POL,64%,54%,15,7,3,16,76%,72%,0.47,0.47,215,211,180,187,140,163,0.36,0.25,0.40,0.35,138,127,40,56,12,60,55%,63%
First,John Isner,6-4 6-4 7-6(1),2012,m,John Isner,Benjamin Mitchell,USA,AUS,66%,48%,19,7,4,8,86%,77%,0.5,0.51,220,212,201,189,175,153,0.38,0.17,0.36,0.26,106,88,40,27,42,32,58%,69%
First,David Nalbandian,6-4 4-2 ret.,2012,m,David Nalbandian,Jarkko Nieminen,ARG,FIN,57%,62%,3,3,0,1,56%,44%,0.63,0.55,194,201,175,176,145,125,0.8,0.5,0.52,0.41,56,46,18,14,19,21,76%,43%
First,Flavio Cipolla,6-4 4-6 3-6 6-2 6-1,2012,m,Flavio Cipolla,Nikolay Davydenko,ITA,RUS,78%,65%,2,3,6,8,56%,53%,0.53,0.44,,,,,0,0,0.5,0.82,0.50,0.45,144,129,2,3,6,8,,
First,Feliciano Lopez,7-6(5) 6-3 7-6(2),2012,m,Feliciano Lopez,Leonardo Mayer,ESP,ARG,57%,54%,8,13,6,9,77%,72%,0.56,0.52,,,,,0,0,0.2,0.08,0.37,0.32,132,115,8,13,6,9,,
First,Lukas Lacko,3-6 4-6 6-3 6-4 6-4,2012,m,Lukas Lacko,Ivan Ljubicic,SVK,CRO,64%,59%,27,13,4,3,81%,76%,0.64,0.52,,,,,0,0,0.36,0.38,0.34,0.25,137,121,27,13,4,3,,
First,Donald Young,6-1 6-2 4-6 1-6 6-2,2012,m,Donald Young,Peter Gojowczyk,USA,GER,62%,59%,5,4,7,4,67%,57%,0.52,0.43,,,,,0,0,0.53,0.44,0.49,0.38,132,108,5,4,7,4,,
First,Tommy Haas,7-6(5) 3-6 6-0 7-5,2012,m,Tommy Haas,Denis Kudla,GER,USA,70%,57%,20,14,1,8,82%,72%,0.61,0.48,,,,,NULL,NULL,0.31,0.67,0.38,0.24,132,110,20,14,1,8,,
First,Rafael Nadal,6-4 6-1 6-1,2012,m,Rafael Nadal,Alex Kuznetsov,ESP,USA,68%,65%,9,5,2,2,86%,49%,0.65,0.46,197,207,180,188,137,149,0.6,0,0.52,0.21,88,49,42,16,14,26,85%,36%
Final,Novak Djokovic,6-7(2) 7-6(3) 6-3 6-2,2013,m,Novak Djokovic,Andy Murray,SRB,GBR,63%,60%,8,7,3,5,75%,81%,0.66,0.46,209,211,188,186,155,133,0.27,0,0.33,0.28,139,126,47,29,61,46,85%,60%
semi,Andy Murray,6-4 6-7(5) 6-3 6-7(2) 6-2,2013,m,Andy Murray,Roger Federer,GBR,SUI,64%,61%,21,5,0,2,75%,73%,0.63,0.42,215,205,192,186,140,155,0.38,0.33,0.39,0.29,177,151,62,43,47,60,67%,66%
semi,Novak Djokovic,6-2 6-2 6-1,2013,m,Novak Djokovic,David Ferrer,SRB,ESP,63%,60%,6,1,0,3,91%,56%,0.79,0.3,203,197,188,182,154,148,1,0.2,0.55,0.14,85,41,30,11,16,32,81%,33%
